,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,logit_score
53858,53858,Portugal,"With the lightest, freshest tingle on the tongue, this is an off-dry wine that is crisp and fresh, combining citrus with sweetness. It is light-bodied, bright and ready to drink.",Encostas do Lima,84,10.0,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Lima 2014 Encostas do Lima White (Vinho Verde),Portuguese White,Adega Cooperativa Ponte de Lima,0
54017,54017,Portugal,"A dry Vinho Verde with a light sparkle that give it a fine lift. With intense citrus and a sliced apple freshness, the wine is refreshing and ready to drink.",Vera,87,12.0,Vinho Verde,,,Roger Voss,@vossroger,Obrigado 2015 Vera White (Vinho Verde),Portuguese White,Obrigado,0
54023,54023,Portugal,"Vines in the southern Amarante region of Vinho Verde give this wine its ripe melon and apple flavors. It is tangy, bright with ripe fruit and with a lightly mineral texture. Drink now.",Portal da Calçada Reserva,87,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Calçada 2015 Portal da Calçada Reserva White (Vinho Verde),Portuguese White,Quinta da Calçada,0
54024,54024,Portugal,"A ripe blend of fresh apple and lemon fruits give this wine is crisp, dry character. It is packed with acidity, orange and lemon zest and has a lively aftertaste. Drink now.",Escolha,87,11.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Raza 2015 Escolha White (Vinho Verde),Portuguese White,Quinta da Raza,0
54040,54040,Portugal,"One of the most familiar Vinho Verde brands in Portugal, this wine is medium sweet with a light prickle on the tongue. It is fruity with creamed apple and citrus along with a touch of honey. The wine is crisp and clean, delicious to drink as an apéritif.",Gatão,85,6.0,Vinho Verde,,,Roger Voss,@vossroger,Borges NV Gatão White (Vinho Verde),Portuguese White,Borges,0
54722,54722,Portugal,"Produced from a single parcel in the family vineyard, this wine shows concentration and density. It has a tense structure that is softened by wood aging, resulting in a fine balance between the natural fresh acidity of the fruit and a smooth character. Abundant in ripe yellow and citrus fruits, this is ready to drink now.",Parcella Unica,93,,Vinho Verde,,,Roger Voss,@vossroger,Anselmo Mendes 2012 Parcella Unica Alvarinho (Vinho Verde),Alvarinho,Anselmo Mendes,1
55386,55386,Portugal,"The Avesso grape is grown mainly in the south of Vinho Verde, in the warmer area nearer the Douro. Green plums and white peach flavors give this a ripe character while the citric edge adds the freshness. Drink this attractive wine now.",,88,12.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2015 Avesso (Vinho Verde),Avesso,Casa de Vilacetinho,0
55517,55517,Portugal,"This wine, with its late release and maturity is aiming to show that Alvarinho can age. The verdict: Sometimes, but not this time. The wine is definitely old with a strong oxidative character and no sign of any fruit.",Sonhador,83,25.0,Vinho Verde,,,Roger Voss,@vossroger,Howard's Folly 2012 Sonhador Alvarinho (Vinho Verde),Alvarinho,Howard's Folly,0
55563,55563,Portugal,"Floral and aromatic, this has a hint of prickle to go with the citrus, green apple and white peach flavors. There is an attractive mineral character—the wine dancing and fragrant.",,88,16.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Gomariz 2011 Alvarinho (Vinho Verde),Alvarinho,Quinta de Gomariz,0
56247,56247,Portugal,"A barrel-aged Alvarinho, but one that is so delicately toasty that the fruit is what this ripe generous wine is all about. It is rich with citrus and pear flavors, zesty and tangy while also having room for a round ripe aftertaste. This is an impressive wine, ready to drink now.",Reserva,91,25.0,Vinho Verde,,,Roger Voss,@vossroger,J. Portugal Ramos 2015 Reserva Alvarinho (Vinho Verde),Alvarinho,J. Portugal Ramos,1
56294,56294,Portugal,"A full-bodied wine, ripely fruity while preserving the natural, cool freshness of a Vinho Verde. It is richly endowed with apple and pear flavors, a touch of yellow fruit and a just a hint of spice. One in a series of single variety wines from Vilacetinho.",,89,15.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2012 Avesso (Vinho Verde),Avesso,Casa de Vilacetinho,0
56499,56499,Portugal,"Sweet, frothy and very pink, this is a strawberry-jelly rosé, light and fruity. The touch of acidity at the end is very welcome.",Conde Villar,83,,Vinho Verde,,,Roger Voss,@vossroger,Quinta das Arcas 2013 Conde Villar Rosé (Vinho Verde),Rosé,Quinta das Arcas,0
57151,57151,Portugal,"Some wood aging has rounded out this fruity wine. But it has not radically changed its inherent fresh, crisp character. It shows apples, lemon and lime juice and just a touch of spice from wood. The wine is ready to drink but will be best if left until 2015.",Daphne,91,,Vinho Verde,,,Roger Voss,@vossroger,Casal Paço Padreiro 2011 Daphne Loureiro (Vinho Verde),Loureiro,Casal Paço Padreiro,1
57169,57169,Portugal,"An easy, fresh, slightly sparkling wine with pleasant, soft, lightly sweet fruit flavors. It is clean, a great apéritif for a summer's day.",,83,8.0,Vinho Verde,,,Roger Voss,@vossroger,Caves Aliança 2006 White (Vinho Verde),Portuguese White,Caves Aliança,0
57463,57463,Portugal,"While it's fresh and creamy, as any Vinho Verde should be, there's something extra to this smooth wine. The tangy acidity is balanced by melon and apple flavors to give the wine some richness. Drink now.",Hera Grande Escolha,86,10.0,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Barca 2013 Hera Grande Escolha Loureiro (Vinho Verde),Loureiro,Adega Cooperativa Ponte de Barca,0
57551,57551,Portugal,"This is the entry-level wine from this Alvarinho specialist. A blend with Trajadura, it is crisp, light and bright. Tangy orange and lemon zest flavors give the wine its tight, lively acidity and refreshing aftertaste. Drink now.",Varanda do Conde,89,10.0,Vinho Verde,,,Roger Voss,@vossroger,Provam 2015 Varanda do Conde White (Vinho Verde),Portuguese White,Provam,0
58280,58280,Portugal,"Bright, lively and fruity, this is a delicious, crisp, dry Vinho Verde from the north of the region, close to Spain. It has citrus notes, a bright texture, lively acidity and a touch of spritz.",Terra Antiga,86,9.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2012 Terra Antiga White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
58666,58666,Portugal,"From the homeland of Alvarinho in the Monção region in the north of Vinho Verde, the wine is rich and mineral with touches of wood fermentation adding spice. It is textured, full of juicy fruit at the end. Drink now.",,89,16.0,Vinho Verde,,,Roger Voss,@vossroger,J. Portugal Ramos 2015 Alvarinho (Vinho Verde),Alvarinho,J. Portugal Ramos,0
58676,58676,Portugal,"With vines in the south of the Vinho Verde region, the estate has wines with a warm, ripe character. This example shows a richer side of Vinho Verde while preserving the natural crisp edge. Tropical fruits are balanced with a citrus aftertaste. Drink now.",,89,12.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2015 Loureiro (Vinho Verde),Loureiro,Casa de Vilacetinho,0
58812,58812,Portugal,"Very fruity, this is a dry wine, with green fruits, citrus and a tangy character. It is light, bright and fresh, very ready to drink.",Monte Cascas Colheita,86,16.0,Vinho Verde,,,Roger Voss,@vossroger,Casca Wines 2012 Monte Cascas Colheita White (Vinho Verde),Portuguese White,Casca Wines,0
59212,59212,Portugal,"A light and fruity style of Vinho Verde, its acidity balanced with pear and white-currant notes. Lemon flavors cut through, adding brightness.",Terras de Felgueiras,85,6.0,Vinho Verde,,,Roger Voss,@vossroger,Vercoope 2011 Terras de Felgueiras White (Vinho Verde),Portuguese White,Vercoope,0
59493,59493,Portugal,"High-acid red wine is not for everyone, but this one—dry, stalky and light—is a genuine example of a wine that has always had a following in northern Portugal, great for pairing with fresh sardines. Think that way, and it's more than just a curiosity.",Campelo Tinto,84,10.0,Vinho Verde,,,Roger Voss,@vossroger,Caves Campelo 2015 Campelo Tinto Red (Vinho Verde),Portuguese Red,Caves Campelo,0
59494,59494,Portugal,"Soft, light and fruity, this wine is ready for a warm day. Apple flavors and clean acidity balance its soft sweetness, making it ready to drink now. Intriguingly, its label resembles that of a much more familiar brand of Vinho Verde.",Casal da Seara,84,10.0,Vinho Verde,,,Roger Voss,@vossroger,Caves Campelo 2015 Casal da Seara White (Vinho Verde),Portuguese White,Caves Campelo,0
59973,59973,Portugal,"There is something of the essential crispness and green fruit character of a Vinho Verde. But the wine also has some richness, weight, and a creamy texture. Very aromatic, this is a wine to drink and also age a few months.",Maria Papoila Escolha,90,15.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2012 Maria Papoila Escolha White (Vinho Verde),Portuguese White,Wines & Winemakers,1
61247,61247,Portugal,"This well-balanced wine is rich, just off dry and with a mineral texture. Plenty of freshness with a crisp aftertaste balances the softer side of the wine. It's for immediate drinking.",Hera,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Barca 2013 Hera White (Vinho Verde),Portuguese White,Adega Cooperativa Ponte de Barca,0
61248,61248,Portugal,"Bright, fruity and fresh, this familiar Vinho Verde brand does exactly what it's meant to do: provide a refreshing, light glass of wine. Apples and citrus easily carry the lightly sweet flavors and blend with an orange zest texture. Drink immediately.",Casal Garcia Branco,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2013 Casal Garcia Branco White (Vinho Verde),Portuguese White,Aveleda,0
61419,61419,Portugal,A sweet wine that has a candy shop confected taste. It does have acidity along with a touch of citrus although the sherbet aftertaste is off-putting.,Ela Branco,83,9.0,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Barca 2013 Ela Branco White (Vinho Verde),Portuguese White,Adega Cooperativa Ponte de Barca,0
61420,61420,Portugal,"Vividly pink in color, this is a light and sweet wine. There is a sugary aftertaste followed by fresh, crisp acidity.",Ela,83,9.0,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Barca 2013 Ela Rosé (Vinho Verde),Rosé,Adega Cooperativa Ponte de Barca,0
61738,61738,Portugal,"Lightly spritzy, this tastes of crisp apple and finishes just off-dry. It's deliciously refreshing, bright and tangy. Drink now.",Miranda,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Caves Campelo 2015 Miranda White (Vinho Verde),Portuguese White,Caves Campelo,0
61751,61751,Portugal,"With its typical prickle on the tongue, this is a medium sweet wine. It's clean, crisp and citrusy, with sliced apple and orange zest flavors. Drink now.",Campelo,85,10.0,Vinho Verde,,,Roger Voss,@vossroger,Caves Campelo 2015 Campelo White (Vinho Verde),Portuguese White,Caves Campelo,0
61779,61779,Portugal,"Crisp and herbaceous, this is a green-fruited wine that's light on the palate, offering delightful refreshing acidity. This is very fruity and ready to drink.",Clemens Reserva,84,,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2011 Clemens Reserva White (Vinho Verde),Portuguese White,Wines & Winemakers,0
61780,61780,Portugal,"The light prickle adds to the natural freshness of this lemon-sherbet-flavored wine. Very crisp and light in the mouth, this dances on the palate with just a touch of sweetness.",Salsus,84,,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2011 Salsus White (Vinho Verde),Portuguese White,Wines & Winemakers,0
62173,62173,Portugal,"A blend of Alvarinho and Trajadura, this combines a creamy texture with bright green fruit acidity. There is weight as well as freshness, the aftertaste rich while also crisp.",Varanda do Conde,90,,Vinho Verde,,,Roger Voss,@vossroger,Provam 2009 Varanda do Conde White (Vinho Verde),Portuguese White,Provam,1
62178,62178,Portugal,"Now in a smart clear blue bottle, this is Aveleda's estate wine. It is always a classic, with just some extra weight to give it distinction. The flavors are apple, brightened with lime, finishing with vibrant acidity.",Quinta da Aveleda,90,9.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2009 Quinta da Aveleda White (Vinho Verde),Portuguese White,Aveleda,1
62470,62470,Portugal,"The wine has plenty of crisp fruit along with touches of smokiness and a riper, yellow fruit character. It's a rich wine, young and fresh and with the potential to age. Drink now, although it will be better from 2017.",Castas de Monção Reserva Bruto Natural,87,,Vinho Verde,,,Roger Voss,@vossroger,Adega de Monção 2011 Castas de Monção Reserva Bruto Natural Sparkling (Vinho Verde),Portuguese Sparkling,Adega de Monção,0
62478,62478,Portugal,"This manages to be rounded and crisp at the same time, giving an intense citrus flavor and a soft texture, with just a touch of honey on the finish.",,86,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Gomariz 2011 Loureiro (Vinho Verde),Loureiro,Quinta de Gomariz,0
62689,62689,Portugal,"With a typical touch of fizz, this wine is fruity, light and bright. It is dry, very fresh, full of apples and lime juice. Refreshing and ready to drink.",,85,17.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta do Cruzeiro 2012 White (Vinho Verde),Portuguese White,Quinta do Cruzeiro,0
63005,63005,Portugal,"Azal is a comparatively rare grape to be vinified on its own, so this example is something of a curiosity. It has plenty of acidity and is a refreshing, appley wine suited for summertime drinking, very chilled.",Colheita Seleccionada,85,13.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2013 Colheita Seleccionada Azal (Vinho Verde),Azal,Casa de Vilacetinho,0
63146,63146,Portugal,"From the northern Portuguese heartland of Alvarinho, this beautifully ripe and rich wine is packed with intense perfumes of white peach and green apple. Fresh fruit and crisp acidity give a lively, tangy aftertaste. Drink from late 2015.",QM,91,23.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2014 QM Alvarinho (Vinho Verde),Alvarinho,Quintas de Melgaço,1
64528,64528,Portugal,"Red sparkling wine is always an acquired taste, especially when it is a tannic, tart version like this. But this is as fine as a red sparkling Vinho Verde can be. Pair it with sardines.",Aphros  Super-Reserva Bruto,85,26.0,Vinho Verde,,,Roger Voss,@vossroger,Casal Paço Padreiro NV Aphros  Super-Reserva Bruto Vinhão (Vinho Verde),Vinhão,Casal Paço Padreiro,0
64591,64591,Portugal,"Fresh and crisp, classic dry Vinho Verde, a blend of Alvarinho and Trajadura, with citrus flavors and a tight texture. Lively and fresh.",AT,86,,Vinho Verde,,,Roger Voss,@vossroger,Borges 2009 AT White (Vinho Verde),Portuguese White,Borges,0
64597,64597,Portugal,"A medium-dry Vinho Verde, this is light and fresh without being quite crisp enough. Well chilled, though, it makes a lively and fresh apéritif.",Aliança,85,7.0,Vinho Verde,,,Roger Voss,@vossroger,Caves Aliança 2009 Aliança White (Vinho Verde),Portuguese White,Caves Aliança,0
64906,64906,Portugal,"This is a blend of Alvarinho and Trajadura, a lively, fruity wine that has just a hint of a prickle on the tongue. It has apple and grapefruit flavors that are fresh and deliciously crisp. The wine is ready to drink.",Torre de Menagem Escolha,88,12.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2015 Torre de Menagem Escolha White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
64916,64916,Portugal,"A ripe, tropical fruit flavored wine that is both fresh and rich. While produced in an area of Vinho Verde that is predominately dedicated to the Alvarinho grape, this dry wine is a refreshing, bright blend of many of the local varieties. It is juicy, crisp and ready to drink.",Muros Antigos Escolha,88,17.0,Vinho Verde,,,Roger Voss,@vossroger,Anselmo Mendes 2015 Muros Antigos Escolha White (Vinho Verde),Portuguese White,Anselmo Mendes,0
64959,64959,Portugal,This fresh wine shows fruit tones balanced by a light mineral note. It is bright with acidity and grapefruit flavors alongside a crisp aftertaste. Drink now.,Miranda,85,10.0,Vinho Verde,,,Roger Voss,@vossroger,Campelo 2014 Miranda White (Vinho Verde),Portuguese White,Campelo,0
65158,65158,Portugal,"Produced in the Lima Valley, in the heart of the Vinho Verde region, this is fruity and crisp. It is medium sweet in character, the sweetness balanced by the refreshing acidity and citrus flavors. Drink now.",Alto Lima,85,10.0,Vinho Verde,,,Roger Voss,@vossroger,Viniverde 2015 Alto Lima White (Vinho Verde),Portuguese White,Viniverde,0
65160,65160,Portugal,"One of the better examples in this category, this is crisp and clean. It has a hint of tannin and a green edge from the only just-ripe grapes. The strawberry flavor at the end does bring an attractive aftertaste.",,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,J. Portugal Ramos 2015 Rosé (Vinho Verde),Rosé,J. Portugal Ramos,0
65561,65561,Portugal,"With the classic tongue-tickle of young Vinho Verde, this fresh, crisp and off-dry wine is immediately drinkable. It has ripe orange and sweet citrus fruitiness, and plenty of acidity.",Vera Branco,85,12.0,Vinho Verde,,,Roger Voss,@vossroger,Obrigado 2014 Vera Branco White (Vinho Verde),Portuguese White,Obrigado,0
65563,65563,Portugal,"Aromas of white flowers lead into crisp lemon and grapefruit flavors. This has a fresh tang from the light prickle on the tongue, along with ripe peach and apple skin flavors. Drink now.",Colheita,85,10.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Lixa 2014 Colheita White (Vinho Verde),Portuguese White,Quinta da Lixa,0
65564,65564,Portugal,"This just off-dry rosé is crisp, packed with strawberry fruits and balanced in acidity. Made from the Padeiro grape, one of the many Vinho Verde red grapes, it is an attractive wine, finishing with a bright, light aftertaste.",Dom Diogo Colheita Seleccionada,85,15.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Raza 2014 Dom Diogo Colheita Seleccionada Rosé (Vinho Verde),Rosé,Quinta da Raza,0
65575,65575,Portugal,"Here's a bright, slightly sparkling wine, with fresh acidity and an off-dry, fruity character. It has attractive lemon-lime flavors and a salty, mineral aftertaste. Drink now.",,85,,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vila Verde 2014 White (Vinho Verde),Portuguese White,Casa de Vila Verde,0
65844,65844,Portugal,"There is the faintest prickle on this dry, ripe and creamy wine. It has ripe acidity with crisp apple and green plum fruits. There is just the edge of minerality to give this wine texture. Drink now.",Dom Diogo Colheita Seleccionada,86,15.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Raza 2015 Dom Diogo Colheita Seleccionada Arinto (Vinho Verde),Arinto,Quinta da Raza,0
65865,65865,Portugal,"From the Moncão region, heartland of Alvarinho, at the north of Vinho Verde, this is a delicious wine, its green flavors bursting out of the glass. It is fresh, very crisp, edged with yeastiness but then boosted by its tight acidity.",,90,13.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2007 Alvarinho (Vinho Verde),Alvarinho,Aveleda,1
66432,66432,Portugal,"After Verdelho, Loureiro is the other fine Vinho Verde grape. Here it gives crisp lemon acidity that goes with a bright fruitiness and a tight, mineral texture that comes from the granite soil. Drink this fresh wine now.",,88,8.0,Vinho Verde,,,Roger Voss,@vossroger,J. Portugal Ramos 2015 Loureiro (Vinho Verde),Loureiro,J. Portugal Ramos,0
66914,66914,Portugal,"A wood-aged red Vinho Verde brings out some richness in the Vinhão grape. With its already-red juice, the wine has surprising weight and ripeness with black currant fruit to the fore. Drink now.",Aphros Tinto,88,,Vinho Verde,,,Roger Voss,@vossroger,Casal Paço Padreiro 2012 Aphros Tinto Vinhão (Vinho Verde),Vinhão,Casal Paço Padreiro,0
66975,66975,Portugal,"The perfect summer apéritif, this light, fresh, crisp wine tastes just drier than previous vintages, allowing the apple and lemon fruits to shine even more. It has a tight, taut aftertaste, leaving the mouth clean and refreshed. Screwcap.",Twin Vines,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,José Maria da Fonseca 2008 Twin Vines White (Vinho Verde),Portuguese White,José Maria da Fonseca,0
66982,66982,Portugal,"Delicious citrus and grape juice aromas, with a vivid, lively dry style that explodes with white fruit and lime flavors. The wine is a great apéritif, or with shellfish.",Famega White,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,Caves da Cerca 2008 Famega White White (Vinho Verde),Portuguese White,Caves da Cerca,0
67221,67221,Portugal,"This is a deliciously fresh, yet also rounded and rich wine. Creamed apples and soft pears go with a lime juice crispness, resulting in a wine that is ripe, fruity and delicately acidic. Drink now.",Muros Antigos,90,14.0,Vinho Verde,,,Roger Voss,@vossroger,Anselmo Mendes 2012 Muros Antigos White (Vinho Verde),Portuguese White,Anselmo Mendes,1
69305,69305,Portugal,"This has attractive apple and citrus fruits,with a crisp structure and some sweetness on the finish.",Vinhas Altas,85,,Vinho Verde,,,Roger Voss,@vossroger,Cavipor 2011 Vinhas Altas White (Vinho Verde),Portuguese White,Cavipor,0
69426,69426,Portugal,"This is a wine that shows a more serious side to Vinho Verde. Bone dry, with a crisp and creamy texture, it has citrus, pineapple and red apple flavors. It could even age a few months, but is so drinkable now.",Dom Diogo,87,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Raza 2013 Dom Diogo Arinto (Vinho Verde),Arinto,Quinta da Raza,0
69536,69536,Portugal,"Lightly sparkling, this is a crisp, almost dry wine that offers fresh sliced apples and citrus flavors. Made from the Louriero grape which is widely planted in the Lima valley, this is a fruity sip for the summer.",Ponte,85,10.0,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Lima 2014 Ponte Loureiro (Vinho Verde),Loureiro,Adega Cooperativa Ponte de Lima,0
70329,70329,Portugal,"This is a sweet, lightly sparkling wine. It has crisp apple as well as citrus flavors to contrast with the sweetness. Drink now.",Estreia,83,9.0,Vinho Verde,,,Roger Voss,@vossroger,Viniverde 2015 Estreia White (Vinho Verde),Portuguese White,Viniverde,0
70330,70330,Portugal,"Soft and candied, this is a ripe wine that has sweet strawberry-fruit flavors. It is ready to drink.",Lago Cerqueira,83,11.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Calçada 2015 Lago Cerqueira Rosé (Vinho Verde),Rosé,Quinta da Calçada,0
71257,71257,Portugal,"This popular brand's pink version is off dry, lightly fizzy and fruity. It has a strawberry-sherbet character that is attractive and great for summer drinking.",Casal Garcia,84,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2015 Casal Garcia Rosé (Vinho Verde),Rosé,Aveleda,0
71268,71268,Portugal,There is an attractive light sparkle to this off-dry rosé. It has strawberry fruit and a touch of acidity that balances the candied softness. Drink now.,Dom Diogo Padeiro Colheita Seleccionada,84,15.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Raza 2015 Dom Diogo Padeiro Colheita Seleccionada Rosé (Vinho Verde),Rosé,Quinta da Raza,0
71283,71283,Portugal,"A light, sweet wine that has a faint prickle and candied-strawberry flavors. It is ready to drink.",Flamingo Escolha,83,9.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2015 Flamingo Escolha Rosé (Vinho Verde),Rosé,Casa de Vilacetinho,0
71288,71288,Portugal,"A ripe wine, with white fruits and a touch of spice. The crisp minerality of Vinho Verde is all there, with a satisfyingly textured aftertaste.",,89,12.0,Vinho Verde,,,Roger Voss,@vossroger,Solar de Pinheiro 2009 White (Vinho Verde),Portuguese White,Solar de Pinheiro,0
71377,71377,Portugal,"The creamy, ripe character of Alvarinho is pronounced in this rich wine. Ripe citrus and juicy apricot fruit give a smooth, rounded character that is lightly crispened by its final tangy acidity. Drink from 2017.",Toucas,88,20.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2015 Toucas Alvarinho (Vinho Verde),Alvarinho,Wines & Winemakers,0
74077,74077,Portugal,"Fruity and intense, this is a very fine Vinho Verde from the northern vineyards of the region. It is full, packed with pear, lemon meringue and grapefruit flavors, feeling rich as well as crisp. A wine like this can age, so drink until 2017.",Muros Antigos Escolha,91,13.0,Vinho Verde,,,Roger Voss,@vossroger,Anselmo Mendes 2012 Muros Antigos Escolha White (Vinho Verde),Portuguese White,Anselmo Mendes,1
75057,75057,Portugal,"Lightly sweet, this is a refreshing, fruity wine. It's a great apéritif for the summer with its ripe lemon and grapefruit that are given a push by the softer green plum  fruits. Drink now.",,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2013 White (Vinho Verde),Portuguese White,Aveleda,0
75147,75147,Portugal,"This is a fruity style of Vinho Verde that also brings out the crispest citrus and pink grapefruit flavors. The wine, with its light spritz, is fresh, full of acidity and just off dry. Drink now.",Raza,84,10.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Raza 2013 Raza White (Vinho Verde),Portuguese White,Quinta da Raza,0
75293,75293,Portugal,This sweet rosé is light and crisply fruity. Strawberry flavors make it an immediately refreshing and enjoyable apéritif wine.,Escolha,84,10.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2016 Escolha Rosé (Vinho Verde),Rosé,Casa de Vilacetinho,0
75542,75542,Portugal,"Features citrus-flower and lime aromas. Lightweight, and with a slight spritz, this is a correct and refreshing Vinho Verde, with tart lime and quartz-mineral elements. A blend of 95% Alvarinho and 5% Trajadura.",Torre de Menagem,83,8.0,Vinho Verde,,,Joe Czerwinski,@JoeCz,Quintas de Melgaço 1998 Torre de Menagem White (Vinho Verde),White Blend,Quintas de Melgaço,0
75549,75549,Portugal,"The essence of jalapeños may be found in this new-wave Sauvignon Blanc. Unfortunately, that’s pretty much all there is. It’s a bit simple and even seems a bit hollow or overcropped, with a short finish.",QM,82,11.0,Vinho Verde,,,Joe Czerwinski,@JoeCz,Quintas de Melgaço 1998 QM Alvarinho (Vinho Verde),Alvarinho,Quintas de Melgaço,0
76681,76681,Portugal,"This is a fun, candy-pink colored wine that is off dry, with a light effervescent prickle on the tongue. It has a tangy character that brings out intense acidity, with crisp red-currant and raspberry flavors. Drink now.",Vera,84,12.0,Vinho Verde,,,Roger Voss,@vossroger,Obrigado 2014 Vera Rosé (Vinho Verde),Portuguese Rosé,Obrigado,0
76694,76694,Portugal,"This is a fruity wine that has fresh, lemony crispness to balance the sweet-fruit palate. Bright and clean, it is ready to drink now.",Anjos,83,8.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Lixa 2014 Anjos White (Vinho Verde),Portuguese White,Quinta da Lixa,0
76698,76698,Portugal,"While the wine is clean, it tastes yeasty and heavy despite its low alcohol. There is strawberry fruitiness and final acidity, although the sweetness remains intrusive.",Casal Garcia,83,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2014 Casal Garcia Rosé (Vinho Verde),Rosé,Aveleda,0
76703,76703,Portugal,"Here is a lightly sweet, fresh wine that has crisp red-currant and raspberry flavors. It's bright, clean and ready to drink now.",Pluma,83,,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vila Verde 2014 Pluma Rosé (Vinho Verde),Rosé,Casa de Vila Verde,0
77213,77213,Portugal,"A sweet and fizzy wine, this is also tight with acidity and textured with tannins. It has a mineral edge along with the intense crispness that is really too much.",Pluma,82,10.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vila Verde 2015 Pluma Rosé (Vinho Verde),Rosé,Casa de Vila Verde,0
77218,77218,Portugal,"This is a sweet, confected wine. It has sugary red fruits and just enough acidity. Made from the Vinhão grape, it is soft and ready to drink.",Portal da Calçada,81,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Calçada 2015 Portal da Calçada Rosé (Vinho Verde),Rosé,Quinta da Calçada,0
77220,77220,Portugal,"Bright pink in color, this looks and tastes like candy. There is the lightest touch of acidity to at least bring some crispness to this sweet wine.",Estreia,81,9.0,Vinho Verde,,,Roger Voss,@vossroger,Viniverde 2015 Estreia Rosé (Vinho Verde),Rosé,Viniverde,0
77895,77895,Portugal,"A deliciously fresh and soft young wine, it is just off dry: really more light and crisp. Lemon and tight citrus flavors are lifted by a prickle on the tongue. This is a perfect summer drink.",Blue,85,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2015 Blue White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
77941,77941,Portugal,"Fragrant and fruity, this very fresh wine has a strong mineral texture. The freshness gives way to a deeper, rich sense that brings out a more creamy character. It's ripe and rich at the end.",Aphros Ten,90,18.0,Vinho Verde,,,Roger Voss,@vossroger,Casal Paço Padreiro 2013 Aphros Ten White (Vinho Verde),Portuguese White,Casal Paço Padreiro,1
77946,77946,Portugal,"Intense and crisp, it shows bright fruits and some weight as well. A touch of yellow fruits give the grapefruit a warmer character and good depth of flavor. It's a Vinho Verde for cooler days, ripe and ready for food.",Maria Papoila Escolha,90,18.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2013 Maria Papoila Escolha White (Vinho Verde),Portuguese White,Wines & Winemakers,1
